"P_1","P_2","P_3","P_4","P_5","P_6","P_7","P_8","P_9","P_10","P_11","P_12","P_13","P_14","P_15","P_16","P_17","P_18","P_19","P_20","P_21","P_22","P_23","P_24","P_25","P_26","P_27"
1064.53812981751,1000.5812289046,964.349451265416,965.923289054569,965.241779175891,1338.78003815933,1334.03824099872,2006.88770872101,2329.71764794417,2598.07599890445,3063.1597617377,6445.34147072565,4807.59840916292,5411.08922811264,5747.61143858241,928.020561048207,7197.59349830956,6580.04555777451,7406.37192063413,7811.02081036946,7784.45991858329,8077.76470652658,7672.32203936224,8268.36044616153,7596.24462359049,8258.80483237953,7865.94832680076
1062.41834049351,997.87857833853,963.235595990833,963.578226104869,954.065049731222,1312.37948103923,1335.99839577331,1894.45322761459,2113.11305279175,2368.43553971005,2682.46782163933,6078.48038936399,4620.31607006133,5056.5289128017,5444.22758151778,797.985407920296,6755.24911380205,6508.13714809261,7273.47431826276,7726.25614482228,7698.95953850731,8052.38841753764,7657.03722169608,8244.90027099782,7618.64539538396,8029.60156252552,7924.50608070529
1060.52810515836,994.946677823985,962.255962644001,961.070332878428,945.051685876311,1286.83192803599,1337.23597369961,1816.11243753444,1898.07480521306,2156.30524660249,2351.28732707213,5635.02139529524,4353.77749050476,4556.15865792132,5042.44263441695,682.594789629117,6195.11066981082,6409.58345966233,7116.60064267325,7628.47496572624,7615.30656811099,8024.62150712099,7631.09618401178,8207.59149678724,7641.95828110083,7766.7222338897,7955.25699874185
1058.88044524097,991.925234236655,961.442873102083,958.505469491272,941.659131189591,1272.15827433972,1338.58525608638,1767.64689267516,1755.98406536338,2003.07566223353,2136.39057570117,5154.35603024731,4062.94250409159,4004.50389156125,4600.44439105085,573.892839359672,5556.57455817527,6284.05262474047,6936.79658614413,7516.24398956232,7532.61001196712,7994.57332291576,7612.58883435129,8161.69731894631,7667.04036922411,7489.71755149369,7955.50754358007
1057.42689708748,988.918483685758,960.807922343716,955.97527133615,942.184199604407,1262.8205644039,1335.82941016498,1706.52947519611,1687.58758704936,1892.37879721857,2022.13121139707,4645.63440106674,3722.14648092385,3493.80757071278,4166.52916605074,466.88642551631,4897.88227488474,6132.39578211083,6737.77390648038,7391.01892570876,7450.74686203383,7963.02733560245,7600.61921752151,8113.94776161316,7692.25328279202,7241.71817235686,7928.19760692157
1056.14882920805,986.04502147021,960.369440643976,953.572072348723,940.298701684242,1263.48386675084,1335.89797492669,1659.86173496835,1646.09278374275,1824.78684159649,1961.50071828961,4143.36233934727,3365.76575826298,3047.16838986028,3762.08307158129,357.733359071397,4250.0912889548,5955.58097225607,6524.46209315164,7255.11368500182,7370.18086422298,7930.90643128424,7603.47868023856,8073.68889755752,7716.54772573381,7089.47958474489,7879.09527047209
1055.03971994258,983.384465700687,960.13166945232,951.384003782181,936.349374253474,1258.34595560057,1340.10400269254,1629.59227967649,1621.39917764314,1786.8555915472,1923.41062746357,3694.52447960813,3050.33282184052,2729.94709743166,3420.35036637914,243.122282168735,3652.9299896765,5756.62210462679,6299.19065569451,7117.11357764315,7291.4382736653,7897.9213704256,7624.59069338508,8034.09104248272,7739.22443785886,6994.58846716857,7818.90867856253
1054.11685054236,981.014576147702,960.1011947067,949.501213891136,931.511571614444,1254.16933303438,1340.57159752559,1612.10403487632,1620.04959932989,1766.12942479629,1899.30286536131,3323.08506626866,2802.18494145791,2534.8762263612,3149.60198570848,121.784147565184,3173.10237757899,5540.91182514797,6064.38681182625,6980.53129820588,7214.96033776132,7864.15821352913,7645.32225523405,7989.26587140667,7758.17549433326,6964.73841702811,7754.01975231789
1053.37625808965,979.015985453149,960.264877473906,948.002008210081,925.315328119844,1243.26809349439,1339.67755022879,1601.23678687037,1632.12382990511,1748.87717317932,1890.05362381243,3036.10027632136,2633.2044916269,2425.59750885038,2945.00538529217,-3.96841191636091,2824.29423804937,5314.69567270218,5823.49186908537,6844.6120735515,7141.60579594678,7829.47493093598,7656.89153235409,7935.46780918736,7771.95675224153,7014.01260004115,7696.87815474165
1052.86325342494,977.490639691378,960.625531147738,946.963984290072,922.549082236215,1221.900845464,1339.95065453904,1593.58845404656,1658.32845364162,1732.03026281057,1888.62573939803,2825.74792336945,2513.29535810866,2364.64013055616,2795.26888741226,-130.158910413642,2597.2272467997,5083.83275243385,5580.17639125322,6705.59904616029,7071.56672596076,7794.23469126126,7655.20176398578,7871.64337095969,7779.84136926394,7134.33669876678,7647.58683452188
1052.59436515919,976.524451995445,961.175929289379,946.422360719151,921.438387955505,1209.43399125332,1354.32370197716,1583.46548517299,1671.29586055442,1697.8344259888,1876.25418040792,2679.68983755668,2424.48036433804,2327.44422217759,2686.82248747864,-252.087825853552,2466.17198022002,4854.77578764148,5339.62070193195,6559.28882610498,7005.65869142753,7759.19239025022,7635.49382886997,7799.2140094658,7782.01607383691,7256.94438361771,7613.61223910267
1052.59337775073,976.204241283357,961.929677977308,946.429357409439,922.772340435038,1208.75093096725,1372.68412219406,1578.20870535948,1644.60634107647,1657.10962700953,1861.6273387755,2581.53428818771,2357.4983460848,2298.25848010043,2605.90549670482,-364.93662818654,2399.04595695012,4633.09106156722,5106.25584261261,6401.80857071707,6944.84477189186,7725.36206850231,7599.19267020088,7720.92944489112,7778.97432609942,7354.56767716926,7589.07896288
1052.88888624497,976.53764955689,962.878836470341,946.991396471256,927.241891993851,1203.33381347615,1383.38523748806,1569.25459419351,1613.11792669204,1627.45004324459,1852.27897965448,2516.86880682011,2311.9192723836,2273.84043680719,2543.27665977813,-465.2298234286,2368.94054322453,4422.92285129786,4884.51774872048,6230.7503965973,6890.16056842445,7693.57934496136,7555.49933752542,7639.11641015367,7770.91902405876,7413.34978671247,7568.59574852019
1053.50017229371,977.547960134446,964.030677967815,948.094518005837,936.260577920597,1201.34364026897,1390.14942356949,1552.84749967382,1571.73441135891,1612.10700853059,1842.39218459977,2470.98904907945,2271.28104475931,2255.43123363855,2488.98424894556,-548.12196213074,2356.00265321217,4227.31518931493,4679.24948331463,6047.00033683587,6843.4823612006,7665.18842016299,7516.71974144973,7557.25148389157,7758.36859143625,7436.05490888917,7547.96720805079
1054.38452284914,979.193482184524,965.360498622405,949.682398140883,948.725187379518,1201.41194839682,1390.88535450209,1533.54688032571,1550.44427259966,1609.66399384953,1830.66362350962,2431.25127529929,2229.30323813704,2234.83054928626,2437.48634607807,-609.998376959615,2347.39478931537,4048.84757629401,4495.00132543315,5856.19407641469,6806.37827040195,7641.70409848122,7498.78296073962,7480.42523262511,7742.0055142957,7438.93889805768,7525.13173219164
1055.49428073865,981.44577668468,966.840893492202,951.668916205431,964.817406088089,1211.8438154684,1391.60939481887,1536.55058438469,1561.23473949186,1624.46355792651,1822.74708171986,2391.3998103406,2181.36077386799,2210.27482177683,2386.77053699836,-648.63213464859,2338.81099203189,3889.91034348045,4335.94301858744,5666.97600052777,6780.45669844563,7624.70786018076,7508.69479563612,7414.60371964748,7722.42728135433,7437.69669903477,7499.66329857374
